Année,situation,Taux d’insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,% emplois extérieurs à la région de l’université,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,Disciplines_encoded,Domaine_encoded,Discipline_encoded,Secteur disciplinaire_encoded
2014,1,93.0,98.0,83.0,51.0,88.0,99.0,1.03672696941431,0.9490783120944195,1.2130877798711819,0.9023299214309035,30.0,23.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.014558689717925387,0.41310282074613286,0.10100090991810737,0.014558689717925387
2014,0,87.0,96.0,79.0,51.0,72.0,98.0,0.5262421094445616,0.45872192781922483,0.6722334165134124,0.18271845330379358,30.0,23.0,9.3,-0.3637936945912254,0.0434177152635203,0.0434177152635203,0.014558689717925387,0.41310282074613286,0.10100090991810737,0.014558689717925387
2020,1,96.0,97.0,83.0,41.0,92.0,98.0,1.9006244247477302,1.8072019845760101,2.159582915747279,1.8378248299961466,27.0,25.0,6.9,2.0226524078108232,2.4292211689942373,2.4292211689942373,0.014558689717925387,0.41310282074613286,0.10100090991810737,0.014558689717925387
2015,1,95.0,97.0,83.0,47.0,88.0,99.0,1.1152631017173482,1.0226317697356988,1.3483013707106244,1.01027164164997,28.0,24.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.014558689717925387,0.41310282074613286,0.10100090991810737,0.014558689717925387
2019,0,96.0,97.0,84.0,47.0,89.0,100.0,1.1545311678688672,1.267809961873296,1.5736573554430282,0.722427054399126,36.0,25.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2015,1,96.0,97.0,79.0,52.0,91.0,99.0,0.9974589032627909,0.9000426736669,1.0778741890317396,0.722427054399126,33.0,20.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2012,0,90.0,96.0,75.0,54.0,81.0,98.0,0.4477059771415234,0.38516847017794564,0.8074470073528548,-0.06914556054069491,41.0,13.0,10.1,-1.0001793218984383,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2015,0,94.0,95.0,77.0,52.0,80.0,98.0,0.4477059771415234,0.38516847017794564,0.7173046134598933,0.0028155862720160825,33.0,20.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2013,0,83.0,91.0,77.0,52.0,73.0,96.0,0.5262421094445616,0.45872192781922483,0.762375810406374,0.18271845330379358,28.0,32.0,9.9,-0.3637936945912254,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2018,0,88.0,97.0,89.0,51.0,80.0,100.0,0.9189227709597526,0.8510070352393806,1.438443764603586,0.722427054399126,33.0,29.0,7.8,0.5907847463695941,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2020,0,80.0,96.0,73.0,54.0,71.0,95.0,0.683314374050638,1.365881238728335,1.2806945752909031,0.9922813549467923,28.0,42.0,6.9,2.0226524078108232,2.4292211689942373,2.4292211689942373,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2016,1,96.0,98.0,69.0,55.0,90.0,99.0,1.075995035565829,0.9735961313081792,1.3483013707106244,0.7943882012118371,27.0,27.0,8.5,-1.0001793218984383,-1.38806435697491,-1.38806435697491,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2012,1,90.0,96.0,76.0,55.0,82.0,100.0,0.5262421094445616,0.45872192781922483,0.8525182042993356,0.038796159678371585,35.0,33.0,10.1,-1.0001793218984383,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2013,1,91.0,98.0,85.0,62.0,89.0,99.0,0.9974589032627909,0.9000426736669,1.1680165829247011,0.9023299214309035,30.0,12.0,9.9,-0.3637936945912254,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2020,0,86.0,95.0,82.0,45.0,80.0,99.0,0.9974589032627909,1.905273261431049,1.4835149615500667,1.082232788462681,27.0,27.0,6.9,2.0226524078108232,2.4292211689942373,2.4292211689942373,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2011,1,95.0,100.0,91.0,63.0,91.0,99.0,1.03672696941431,0.9490783120944195,1.3483013707106244,0.722427054399126,29.0,18.0,9.7,-1.477468542378848,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2012,0,90.0,98.0,84.0,55.0,78.0,98.0,0.5262421094445616,0.45872192781922483,0.9426605981922972,0.038796159678371585,35.0,14.0,10.1,-1.0001793218984383,-0.9109036662287666,-0.9109036662287666,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2015,1,95.0,97.0,89.0,54.0,91.0,100.0,1.3116034324749437,1.2187743234457766,1.5736573554430282,1.1901745086817475,28.0,14.0,8.6,-0.44334189800462703,-0.19516263010955143,-0.19516263010955143,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2017,0,95.0,97.0,80.0,42.0,78.0,100.0,0.5262421094445616,0.45872192781922483,1.0778741890317396,0.5425241873673485,20.0,32.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2013,1,93.0,96.0,73.0,41.0,84.0,98.0,0.9189227709597526,0.8510070352393806,0.9426605981922972,0.6504659075864151,18.0,30.0,9.9,-0.3637936945912254,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2019,1,93.0,97.0,83.0,35.0,87.0,99.0,1.46867569708102,1.3903990579420946,1.7990133401754322,1.2981162289008141,11.0,32.0,7.2,1.3862667805036102,0.0434177152635203,0.0434177152635203,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2017,1,95.0,98.0,81.0,42.0,88.0,99.0,1.5079437632325392,1.4149168771558545,1.7990133401754322,1.082232788462681,20.0,32.0,7.8,0.11349552588918434,-0.43374297548262314,-0.43374297548262314,0.017288444040036398,0.41310282074613286,0.10100090991810737,0.017288444040036398
2013,1,95.0,98.0,92.0,30.0,93.0,99.0,1.075995035565829,0.998113950521939,1.3483013707106244,1.082232788462681,31.0,13.0,9.9,-0.3637936945912254,0.5205784060096638,0.5205784060096638,0.017288444040036398,0.41310282074613286,0.017288444040036398,0.017288444040036398
